Code,PUMAs_code,region_name,income_to_pov_ratio13,property_val_13
1,1003,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA,235,72527
1,4400,Atlanta Regional Commission (Southwest)--Douglas County PUMA,277,94404
2,1008,Atlanta Regional Commission (Central)--DeKalb County (South) PUMA,267,77810
2,4300,Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA,273,91019
3,1200,Heart of Georgia Altamaha Regional Commission (Southeast) PUMA,206,56918
3,1300,Heart of Georgia Altamaha Regional Commission (North & West) PUMA,204,77218
4,1400,Middle Georgia Regional Commission (Central)--Bibb County--Macon City PUMA,218,68433
4,1500,Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA,269,96526
4,1600,Middle Georgia Regional Commission (North & Outside Bibb County) PUMA,251,94850
5,1700,River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA,233,73877
5,1800,River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties) PUMA,213,86258
6,2001,Atlanta Regional Commission (Central)--DeKalb County (East Central)--Redan PUMA,255,62399
6,2002,Atlanta Regional Commission--DeKalb County--Decatur & Avondale Estates Cities PUMA,239,150689
6,2003,Atlanta Regional Commission (Central)--DeKalb County (Northeast)--Tucker PUMA,265,110587
6,4005,Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA,315,125870
7,100,Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA,260,103324
7,200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA",246,78883
7,500,Southern Georgia Regional Commission (East & Central) PUMA,210,62714
8,4000,Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA,220,57882
8,4100,Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA,351,156020
8,4200,Central Savannah River Area Regional Commission (West & Outside Richmond & Columbia) PUMA,218,84322
9,5001,Atlanta Regional Commission (South Central)--Clayton County (South) PUMA,224,49906
9,6001,Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA,275,99190
9,6002,Atlanta Regional Commission (Southeast)--Henry County (North)--Stockbridge City PUMA,315,136866
10,2400,Atlanta Regional Commission (South Central)--Fayette County PUMA,368,202207
10,5002,Atlanta Regional Commission (South Central)--Clayton County (North)--Forest Park City PUMA,222,38245
11,1001,Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA,356,364551
11,3004,Atlanta Regional Commission (Northwest)--Cobb County (Southeast)--Smyrna City PUMA,306,121154
11,4600,Atlanta Regional Commission--Fulton County (Central)--Atlanta City (Central) PUMA,160,28994
12,1002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,409,298936
12,1005,Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA,367,244890
12,3300,Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA,371,265543
12,3400,Georgia Mountains Regional Commission (South Central)--Hall County PUMA,256,124500
12,4001,Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA,302,122524
12,4002,Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA,328,182381
12,4006,Atlanta Regional Commission (Northeast)--Gwinnett County (Southwest)--Lilburn City PUMA,245,90096
13,3101,Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities PUMA,299,138596
13,3102,Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities) PUMA,335,234568
14,1900,Three Rivers Regional Commission (East) PUMA,248,95377
14,3900,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA",274,111806
14,4003,Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA,291,113310
14,4004,Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA,328,184175
15,3001,Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City PUMA,231,66147
15,3002,Atlanta Regional Commission--Cobb County (Northwest)--Kennesaw & Acworth Cities PUMA,323,139609
15,3003,Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City PUMA,327,160956
15,3005,Atlanta Regional Commission (Northwest)--Cobb County (Northeast) PUMA,403,282345
16,2500,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",242,79430
16,4500,Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA,295,111762
17,2800,Northwest Georgia Regional Commission (Northeast) PUMA,236,96455
17,2900,Northwest Georgia Regional Commission (East Central)--Bartow County PUMA,251,91656
17,3200,Georgia Mountains Regional Commission (North & Northwest) PUMA,259,148198
17,3500,Georgia Mountains Regional Commission (Southeast) PUMA,232,95558
18,600,Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA,223,77077
18,700,Southern Georgia Regional Commission (West) PUMA,204,83326
18,800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA",232,88620
19,900,Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA,222,69211
19,1100,Southwest Georgia Regional Commission (West & Central) PUMA,209,66985
20,300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA",247,103547
20,401,Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA,225,81423
20,402,Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA,318,167850
21,1004,Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA,283,101601
21,2100,Three Rivers Regional Commission (North Central)--Coweta County PUMA,307,149951
22,2200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",240,77934
22,2300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,249,73430
23,1006,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA,361,370934
23,1007,Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA,260,114441
23,2004,Atlanta Regional Commission--DeKalb County (North)--Dunwoody City PUMA,313,148694
24,2600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",258,96934
24,2700,Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA,236,90704
25,3600,Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA,189,61332
25,3700,Northeast Georgia Regional Commission (East) PUMA,277,154151
25,3800,Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA,282,111448